Date,Price,Open,High,Low,Vol,Change
"Dec 03, 2017","14,843.4","10,912.7","17,294.8","10,578.4","1.26M","36.02%"
"Nov 26, 2017","10,912.7","8,754.6","11,417.8","8,746.6","919.63K","24.65%"
"Nov 19, 2017","8,754.7","7,781.0","8,762.0","7,675.4","551.27K","12.51%"
"Nov 12, 2017","7,780.9","6,339.9","8,000.2","5,493.6","1.00M","22.73%"
"Nov 05, 2017","6,339.9","7,363.8","7,869.1","6,197.9","1.07M","-13.91%"
"Oct 29, 2017","7,363.8","5,726.6","7,492.2","5,679.4","976.41K","28.59%"
"Oct 22, 2017","5,726.6","6,006.6","6,070.6","5,375.6","722.59K","-4.66%"
"Oct 15, 2017","6,006.6","5,824.7","6,187.2","5,114.9","670.51K","3.12%"
"Oct 08, 2017","5,824.7","4,435.8","5,852.8","4,419.4","805.69K","31.31%"
"Oct 01, 2017","4,435.8","4,360.6","4,477.4","4,143.4","443.24K","1.72%"
"Sep 24, 2017","4,360.6","3,788.0","4,383.3","3,633.9","588.23K","15.12%"
"Sep 17, 2017","3,788.0","3,698.9","4,122.8","3,485.8","781.52K","2.41%"
"Sep 10, 2017","3,698.9","4,335.1","4,387.8","2,979.9","1.43M","-14.68%"
"Sep 03, 2017","4,335.1","4,573.8","4,719.8","4,004.6","870.55K","-5.22%"
"Aug 27, 2017","4,573.8","4,352.3","4,976.5","4,195.2","622.35K","5.09%"
"Aug 20, 2017","4,352.3","4,150.5","4,461.7","3,612.2","628.02K","4.86%"
"Aug 13, 2017","4,150.5","3,871.6","4,487.5","3,837.1","997.13K","7.20%"
"Aug 06, 2017","3,871.6","3,262.8","3,967.3","3,166.5","644.93K","18.66%"
"Jul 30, 2017","3,262.8","2,733.5","3,344.0","2,621.7","675.09K","19.36%"
"Jul 23, 2017","2,733.5","2,836.5","2,856.7","2,441.5","859.86K","-3.63%"
"Jul 16, 2017","2,836.5","1,975.1","2,932.8","1,809.0","1.35M","43.62%"
"Jul 09, 2017","1,975.1","2,564.9","2,576.7","1,974.0","777.01K","-22.99%"
"Jul 02, 2017","2,564.9","2,424.6","2,658.7","2,375.9","526.68K","5.78%"
"Jun 25, 2017","2,424.6","2,590.1","2,660.7","2,309.6","737.13K","-6.39%"
"Jun 18, 2017","2,590.1","2,655.1","2,804.4","2,488.6","623.37K","-2.45%"
"Jun 11, 2017","2,655.1","2,900.3","2,985.1","2,125.6","1.07M","-8.45%"
"Jun 04, 2017","2,900.3","2,545.4","2,931.2","2,478.2","710.05K","13.94%"
"May 28, 2017","2,545.4","2,052.4","2,582.8","2,051.1","732.63K","24.02%"
"May 21, 2017","2,052.4","2,040.2","2,781.8","1,868.6","1.18M","0.60%"
"May 14, 2017","2,040.2","1,763.7","2,048.4","1,653.7","552.75K","15.67%"
"May 07, 2017","1,763.7","1,545.3","1,864.8","1,495.2","689.31K","14.14%"
"Apr 30, 2017","1,545.3","1,336.3","1,609.8","1,309.7","609.50K","15.64%"
"Apr 23, 2017","1,336.3","1,240.9","1,356.2","1,223.1","364.25K","7.69%"
"Apr 16, 2017","1,240.9","1,177.0","1,257.0","1,166.7","301.86K","5.43%"
"Apr 09, 2017","1,177.0","1,180.8","1,229.6","841.5","309.20K","-0.32%"
"Apr 02, 2017","1,180.8","1,086.1","1,201.6","1,074.2","495.23K","8.72%"
"Mar 26, 2017","1,086.1","966.3","1,103.7","946.7","542.07K","12.40%"
"Mar 19, 2017","966.3","971.4","1,125.5","890.4","691.92K","-0.52%"
"Mar 12, 2017","971.4","1,179.2","1,260.2","940.2","700.54K","-17.63%"
"Mar 05, 2017","1,179.2","1,264.3","1,330.4","988.7","563.14K","-6.73%"
"Feb 26, 2017","1,264.3","1,149.1","1,291.3","1,130.6","352.15K","10.03%"
"Feb 19, 2017","1,149.1","1,052.3","1,211.7","1,037.7","373.70K","9.20%"
"Feb 12, 2017","1,052.3","1,008.3","1,063.2","975.1","219.71K","4.36%"
"Feb 05, 2017","1,008.3","1,031.8","1,073.0","924.7","404.97K","-2.28%"
"Jan 29, 2017","1,031.8","918.5","1,041.0","911.5","282.01K","12.34%"
"Jan 22, 2017","918.5","919.8","938.4","883.6","256.52K","-0.14%"
"Jan 15, 2017","919.8","819.6","928.9","808.6","346.77K","12.23%"
"Jan 08, 2017","819.6","888.9","936.1","739.5","641.94K","-7.79%"
"Jan 01, 2017","888.9","963.4","1,150.6","806.7","1.65M","-7.73%"
"Dec 25, 2016","963.4","891.1","982.6","851.4","367.77K","8.11%"
"Dec 18, 2016","891.1","787.2","920.5","783.8","358.58K","13.20%"
"Dec 11, 2016","787.2","774.0","791.6","763.0","181.20K","1.70%"
"Dec 04, 2016","774.0","764.2","777.0","746.0","209.60K","1.28%"
"Nov 27, 2016","764.2","734.1","779.0","727.1","283.01K","4.10%"
"Nov 20, 2016","734.1","747.9","754.0","712.8","250.91K","-1.84%"
"Nov 13, 2016","747.9","704.3","755.3","685.0","322.97K","6.19%"
"Nov 06, 2016","704.3","702.1","741.2","697.6","253.50K","0.31%"
"Oct 30, 2016","702.1","715.0","744.4","670.4","351.15K","-1.80%"
"Oct 23, 2016","715.0","655.5","720.2","645.7","279.12K","9.07%"
"Oct 16, 2016","655.5","637.0","659.9","624.1","186.59K","2.90%"
"Oct 09, 2016","637.0","617.7","642.5","612.8","190.80K","3.14%"
"Oct 02, 2016","617.7","613.4","619.6","606.5","154.85K","0.69%"
"Sep 25, 2016","613.4","602.6","615.0","598.2","151.47K","1.80%"
"Sep 18, 2016","602.6","607.1","612.4","591.7","158.87K","-0.74%"
"Sep 11, 2016","607.1","624.5","630.8","592.8","176.68K","-2.79%"
"Sep 04, 2016","624.5","598.8","629.3","590.8","190.28K","4.29%"
"Aug 28, 2016","598.8","570.3","705.0","569.2","177.29K","5.00%"
"Aug 21, 2016","570.3","582.6","591.9","567.3","180.45K","-2.10%"
